,game_id,a_team_id,team_id,a_price,h_price,is_home,wl,season_year,player_1,player_2,player_3,player_4,player_5,player_6,team_id_a,player_1_a,player_2_a,player_3_a,player_4_a,player_5_a,player_6_a,season_num
3595,21100545,1610612750,1610612757,3.25,1.3773584905660377,t,0,2011,Gerald Wallace,Nicolas Batum,Jamal Crawford,LaMarcus Aldridge,Raymond Felton,Wesley Matthews,1610612750,Kevin Love,Ricky Rubio,Martell Webster,Luke Ridnour,Nikola Pekovic,Derrick Williams,0.4444444444444444
7031,20700692,1610612745,1610612749,1.3225806451612903,3.55,t,0,2007,Andrew Bogut,Mo Williams,Yi Jianlian,Charlie Bell,Royal Ivey,Bobby Simmons,1610612745,Tracy McGrady,Yao Ming,Shane Battier,Rafer Alston,Bonzi Wells,Luis Scola,0.0
4235,21200956,1610612748,1610612755,1.2380952380952381,4.1,t,0,2012,Jrue Holiday,Evan Turner,Thaddeus Young,Damien Wilkins,Spencer Hawes,Dorell Wright,1610612748,Dwyane Wade,LeBron James,Mario Chalmers,Chris Bosh,Ray Allen,Shane Battier,0.5555555555555556
6669,21400375,1610612763,1610612759,2.35,1.6451612903225805,t,0,2014,Danny Green,Tim Duncan,Marco Belinelli,Manu Ginobili,Boris Diaw,Cory Joseph,1610612763,Courtney Lee,Zach Randolph,Mike Conley,Marc Gasol,Vince Carter,Quincy Pondexter,0.7777777777777778
2103,21200439,1610612761,1610612753,2.3,1.6666666666666665,t,0,2012,Arron Afflalo,Ish Smith,Nikola Vucevic,JJ Redick,Andrew Nicholson,Hedo Turkoglu,1610612761,Ed Davis,DeMar DeRozan,Jose Calderon,Kyle Lowry,Amir Johnson,Mickael Pietrus,0.5555555555555556
7032,20700708,1610612738,1610612739,2.3,1.6666666666666665,t,1,2007,LeBron James,Larry Hughes,Zydrunas Ilgauskas,Daniel Gibson,Ira Newble,Drew Gooden,1610612738,Ray Allen,Paul Pierce,Rajon Rondo,James Posey,Kendrick Perkins,Tony Allen,0.0
6471,21300454,1610612741,1610612763,2.85,1.4444444444444444,t,0,2013,Mike Conley,Tony Allen,Zach Randolph,Kosta Koufos,James Johnson,Ed Davis,1610612741,Jimmy Butler,Joakim Noah,Carlos Boozer,Kirk Hinrich,Taj Gibson,D.J. Augustin,0.6666666666666666
586,21401014,1610612737,1610612744,3.45,1.3448275862068966,t,1,2014,Stephen Curry,Draymond Green,Andre Iguodala,Leandro Barbosa,Harrison Barnes,Justin Holiday,1610612737,DeMarre Carroll,Al Horford,Kent Bazemore,Paul Millsap,Jeff Teague,Dennis Schroder,0.7777777777777778
1311,21000358,1610612749,1610612742,4.0,1.25,t,0,2010,Dirk Nowitzki,Jason Kidd,Jason Terry,Caron Butler,Tyson Chandler,Shawn Marion,1610612749,Andrew Bogut,Brandon Jennings,John Salmons,Keyon Dooling,Chris Douglas-Roberts,Ersan Ilyasova,0.3333333333333333
3992,21600800,1610612743,1610612752,2.2,1.7142857142857144,t,0,2016,Brandon Jennings,Carmelo Anthony,Kristaps Porzingis,Courtney Lee,Derrick Rose,Kyle O'Quinn,1610612743,Nikola Jokic,Wilson Chandler,Jameer Nelson,Will Barton,Gary Harris,Darrell Arthur,1.0
6750,21400815,1610612751,1610612747,1.6451612903225805,2.35,t,0,2014,Jordan Hill,Ed Davis,Ronnie Price,Nick Young,Jeremy Lin,Jordan Clarkson,1610612751,Deron Williams,Bojan Bogdanovic,Joe Johnson,Brook Lopez,Alan Anderson,Mason Plumlee,0.7777777777777778
2257,21300050,1610612745,1610612746,2.65,1.526315789473684,t,1,2013,Jared Dudley,Chris Paul,Blake Griffin,DeAndre Jordan,Jamal Crawford,JJ Redick,1610612745,Chandler Parsons,James Harden,Jeremy Lin,Omri Casspi,Dwight Howard,Omer Asik,0.6666666666666666
4250,21201063,1610612746,1610612740,1.4166666666666667,3.0,t,0,2012,Anthony Davis,Eric Gordon,Robin Lopez,Greivis Vasquez,Brian Roberts,Darius Miller,1610612746,Blake Griffin,Chris Paul,DeAndre Jordan,Caron Butler,Jamal Crawford,Matt Barnes,0.5555555555555556
2957,20800153,1610612752,1610612738,4.1,1.2380952380952381,t,1,2008,Ray Allen,Paul Pierce,Rajon Rondo,Leon Powe,Kendrick Perkins,Brian Scalabrine,1610612752,Chris Duhon,Wilson Chandler,Zach Randolph,Nate Robinson,Quentin Richardson,Jamal Crawford,0.1111111111111111
1329,21000492,1610612754,1610612752,3.5,1.3333333333333333,t,1,2010,Raymond Felton,Wilson Chandler,Amar'e Stoudemire,Danilo Gallinari,Toney Douglas,Ronny Turiaf,1610612754,Danny Granger,Brandon Rush,Darren Collison,Mike Dunleavy,T.J. Ford,Jeff Foster,0.3333333333333333
7847,21100767,1610612757,1610612746,5.25,1.1538461538461537,t,1,2011,Blake Griffin,Chris Paul,DeAndre Jordan,Caron Butler,Randy Foye,Nick Young,1610612757,Nicolas Batum,JJ Hickson,Wesley Matthews,Raymond Felton,Jamal Crawford,Luke Babbitt,0.4444444444444444
3302,20901224,1610612763,1610612760,4.25,1.2222222222222223,t,1,2009,Kevin Durant,Jeff Green,Serge Ibaka,Eric Maynor,Thabo Sefolosha,James Harden,1610612763,Rudy Gay,Zach Randolph,O.J. Mayo,Mike Conley,Hasheem Thabeet,Sam Young,0.2222222222222222
6583,21301078,1610612739,1610612751,4.25,1.2222222222222223,t,1,2013,Shaun Livingston,Joe Johnson,Mirza Teletovic,Deron Williams,Andray Blatche,Marcus Thornton,1610612739,Dion Waiters,Jarrett Jack,Luol Deng,Anderson Varejao,Matthew Dellavedova,Tristan Thompson,0.6666666666666666
999,20800832,1610612748,1610612753,4.5,1.2,t,1,2008,Rashard Lewis,Hedo Turkoglu,Dwight Howard,Courtney Lee,Rafer Alston,JJ Redick,1610612748,Dwyane Wade,Jamario Moon,Udonis Haslem,Jermaine O'Neal,Michael Beasley,Mario Chalmers,0.1111111111111111
6051,21600765,1610612761,1610612751,1.3571428571428572,3.4,t,0,2016,Sean Kilpatrick,Brook Lopez,Bojan Bogdanovic,Trevor Booker,Randy Foye,Joe Harris,1610612761,Kyle Lowry,Norman Powell,DeMarre Carroll,Pascal Siakam,Terrence Ross,Jonas Valanciunas,1.0
8252,21601141,1610612756,1610612757,5.5,1.1428571428571428,t,1,2016,Noah Vonleh,Damian Lillard,CJ McCollum,Evan Turner,Al-Farouq Aminu,Maurice Harkless,1610612756,TJ Warren,Devin Booker,Tyler Ulis,Marquese Chriss,Derrick Jones Jr.,Alan Williams,1.0
4173,21200510,1610612753,1610612757,3.35,1.3636363636363638,t,1,2012,Nicolas Batum,JJ Hickson,Damian Lillard,Wesley Matthews,LaMarcus Aldridge,Luke Babbitt,1610612753,Jameer Nelson,Nikola Vucevic,Arron Afflalo,Josh McRoberts,JJ Redick,DeQuan Jones,0.5555555555555556
5069,20800656,1610612737,1610612748,2.35,1.6451612903225805,t,1,2008,Udonis Haslem,Mario Chalmers,Dwyane Wade,Daequan Cook,Mark Blount,Yakhouba Diawara,1610612737,Joe Johnson,Marvin Williams,Josh Smith,Mike Bibby,Flip Murray,Maurice Evans,0.1111111111111111
5784,21500692,1610612737,1610612754,2.35,1.6451612903225805,t,1,2015,George Hill,Monta Ellis,Paul George,Ian Mahinmi,Myles Turner,CJ Miles,1610612737,Al Horford,Jeff Teague,Kent Bazemore,Kyle Korver,Thabo Sefolosha,Tiago Splitter,0.8888888888888888
5531,21000861,1610612758,1610612766,3.0,1.4166666666666667,t,1,2010,Kwame Brown,Stephen Jackson,Gerald Henderson,D.J. Augustin,Boris Diaw,Matt Carroll,1610612758,Beno Udrih,Jermaine Taylor,Jason Thompson,Omri Casspi,Samuel Dalembert,DeMarcus Cousins,0.3333333333333333
